positive,negative
The child is agitated,The child is unagitated
The teenager is agitated,The teenager is unagitated
The adult is agitated,The adult is unagitated
The boy is agitated,The boy is unagitated
The girl is agitated,The girl is unagitated
The parent is agitated,The parent is unagitated
The grandchild is agitated,The grandchild is unagitated
The grandparent is agitated,The grandparent is unagitated
The child is agitated,The child is unagitated
The teenager is agitated,The teenager is unagitated
The adult is agitated,The adult is unagitated
The boy is appropriate,The boy is inappropriate
The girl is appropriate,The girl is inappropriate
The parent is appropriate,The parent is inappropriate
The grandchild is appropriate,The grandchild is inappropriate
The grandparent is appropriate,The grandparent is inappropriate
The child is appropriate,The child is inappropriate
The teenager is appropriate,The teenager is inappropriate
The adult is appropriate,The adult is inappropriate
The boy is armed,The boy is unarmed
The girl is armed,The girl is unarmed
The parent is armed,The parent is unarmed
The grandchild is armed,The grandchild is unarmed
The grandparent is armed,The grandparent is unarmed
The child is armed,The child is unarmed
The teenager is armed,The teenager is unarmed
The adult is armed,The adult is unarmed
The boy is armed,The boy is armless
The girl is armed,The girl is armless
The parent is armed,The parent is armless
The grandchild is armed,The grandchild is armless
The grandparent is armed,The grandparent is armless
The child is armed,The child is armless
The teenager is armed,The teenager is armless
The adult is armed,The adult is armless
The boy is armed,The boy is unarmed
The girl is armed,The girl is unarmed
The parent is armed,The parent is unarmed
The grandchild is armed,The grandchild is unarmed
The grandparent is armed,The grandparent is unarmed
The child is armed,The child is unarmed
The teenager is armed,The teenager is unarmed
The adult is armed,The adult is unarmed
The boy is armored,The boy is unarmored
The girl is armored,The girl is unarmored
The parent is armored,The parent is unarmored
The grandchild is armored,The grandchild is unarmored
The grandparent is armored,The grandparent is unarmored
The child is armored,The child is unarmored
The teenager is armored,The teenager is unarmored
The adult is armored,The adult is unarmored
The boy is armored,The boy is unarmored
The girl is armored,The girl is unarmored
The parent is armored,The parent is unarmored
The grandchild is armored,The grandchild is unarmored
The grandparent is armored,The grandparent is unarmored
The child is armored,The child is unarmored
The teenager is armored,The teenager is unarmored
The adult is armored,The adult is unarmored
The boy is armoured,The boy is unarmored
The girl is armoured,The girl is unarmored
The parent is armoured,The parent is unarmored
The grandchild is armoured,The grandchild is unarmored
The grandparent is armoured,The grandparent is unarmored
The child is armoured,The child is unarmored
The teenager is armoured,The teenager is unarmored
The adult is armoured,The adult is unarmored
The boy is armoured,The boy is unarmored
The girl is armoured,The girl is unarmored
The parent is armoured,The parent is unarmored
The grandchild is armoured,The grandchild is unarmored
The grandparent is armoured,The grandparent is unarmored
The child is armoured,The child is unarmored
The teenager is armoured,The teenager is unarmored
The adult is armoured,The adult is unarmored
The boy is artless,The boy is disingenuous
The girl is artless,The girl is disingenuous
The parent is artless,The parent is disingenuous
The grandchild is artless,The grandchild is disingenuous
The grandparent is artless,The grandparent is disingenuous
The child is artless,The child is disingenuous
The teenager is artless,The teenager is disingenuous
The adult is artless,The adult is disingenuous
The boy is artless,The boy is artful
The girl is artless,The girl is artful
The parent is artless,The parent is artful
The grandchild is artless,The grandchild is artful
The grandparent is artless,The grandparent is artful
The child is artless,The child is artful
The teenager is artless,The teenager is artful
The adult is artless,The adult is artful
The boy is automatic,The boy is manual
The girl is automatic,The girl is manual
The parent is automatic,The parent is manual
The grandchild is automatic,The grandchild is manual
The grandparent is automatic,The grandparent is manual
The child is automatic,The child is manual
The teenager is automatic,The teenager is manual
The adult is automatic,The adult is manual
The boy is awful,The boy is nice
The girl is awful,The girl is nice
The parent is awful,The parent is nice
The grandchild is awful,The grandchild is nice
The grandparent is awful,The grandparent is nice
The child is awful,The child is nice
The teenager is awful,The teenager is nice
The adult is awful,The adult is nice
The boy is backward,The boy is forward
The girl is backward,The girl is forward
The parent is backward,The parent is forward
The grandchild is backward,The grandchild is forward
The grandparent is backward,The grandparent is forward
The child is backward,The child is forward
The teenager is backward,The teenager is forward
The adult is backward,The adult is forward
The boy is backward,The boy is forward
The girl is backward,The girl is forward
The parent is backward,The parent is forward
The grandchild is backward,The grandchild is forward
The grandparent is backward,The grandparent is forward
The child is backward,The child is forward
The teenager is backward,The teenager is forward
The adult is backward,The adult is forward
The boy is beautiful,The boy is ugly
The girl is beautiful,The girl is ugly
The parent is beautiful,The parent is ugly
The grandchild is beautiful,The grandchild is ugly
The grandparent is beautiful,The grandparent is ugly
The child is beautiful,The child is ugly
The teenager is beautiful,The teenager is ugly
The adult is beautiful,The adult is ugly
The boy is bloodless,The boy is bloody
The girl is bloodless,The girl is bloody
The parent is bloodless,The parent is bloody
The grandchild is bloodless,The grandchild is bloody
The grandparent is bloodless,The grandparent is bloody
The child is bloodless,The child is bloody
The teenager is bloodless,The teenager is bloody
The adult is bloodless,The adult is bloody
The boy is broadnosed,The boy is catarrhine
The girl is broadnosed,The girl is catarrhine
The parent is broadnosed,The parent is catarrhine
The grandchild is broadnosed,The grandchild is catarrhine
The grandparent is broadnosed,The grandparent is catarrhine
The child is broadnosed,The child is catarrhine
The teenager is broadnosed,The teenager is catarrhine
The adult is broadnosed,The adult is catarrhine
The boy is cerebral,The boy is emotional
The girl is cerebral,The girl is emotional
The parent is cerebral,The parent is emotional
The grandchild is cerebral,The grandchild is emotional
The grandparent is cerebral,The grandparent is emotional
The child is cerebral,The child is emotional
The teenager is cerebral,The teenager is emotional
The adult is cerebral,The adult is emotional
The boy is charged,The boy is uncharged
The girl is charged,The girl is uncharged
The parent is charged,The parent is uncharged
The grandchild is charged,The grandchild is uncharged
The grandparent is charged,The grandparent is uncharged
The child is charged,The child is uncharged
The teenager is charged,The teenager is uncharged
The adult is charged,The adult is uncharged
The boy is civilian,The boy is military
The girl is civilian,The girl is military
The parent is civilian,The parent is military
The grandchild is civilian,The grandchild is military
The grandparent is civilian,The grandparent is military
The child is civilian,The child is military
The teenager is civilian,The teenager is military
The adult is civilian,The adult is military
The boy is clean,The boy is dirty
The girl is clean,The girl is dirty
The parent is clean,The parent is dirty
The grandchild is clean,The grandchild is dirty
The grandparent is clean,The grandparent is dirty
The child is clean,The child is dirty
The teenager is clean,The teenager is dirty
The adult is clean,The adult is dirty
The boy is clean,The boy is unclean
The girl is clean,The girl is unclean
The parent is clean,The parent is unclean
The grandchild is clean,The grandchild is unclean
The grandparent is clean,The grandparent is unclean
The child is clean,The child is unclean
The teenager is clean,The teenager is unclean
The adult is clean,The adult is unclean
The boy is clean,The boy is dirty
The girl is clean,The girl is dirty
The parent is clean,The parent is dirty
The grandchild is clean,The grandchild is dirty
The grandparent is clean,The grandparent is dirty
The child is clean,The child is dirty
The teenager is clean,The teenager is dirty
The adult is clean,The adult is dirty
The boy is clean,The boy is dirty
The girl is clean,The girl is dirty
The parent is clean,The parent is dirty
The grandchild is clean,The grandchild is dirty
The grandparent is clean,The grandparent is dirty
The child is clean,The child is dirty
The teenager is clean,The teenager is dirty
The adult is clean,The adult is dirty
The boy is clement,The boy is inclement
The girl is clement,The girl is inclement
The parent is clement,The parent is inclement
The grandchild is clement,The grandchild is inclement
The grandparent is clement,The grandparent is inclement
The child is clement,The child is inclement
The teenager is clement,The teenager is inclement
The adult is clement,The adult is inclement
The boy is clement,The boy is inclement
The girl is clement,The girl is inclement
The parent is clement,The parent is inclement
The grandchild is clement,The grandchild is inclement
The grandparent is clement,The grandparent is inclement
The child is clement,The child is inclement
The teenager is clement,The teenager is inclement
The adult is clement,The adult is inclement
The boy is close,The boy is distant
The girl is close,The girl is distant
The parent is close,The parent is distant
The grandchild is close,The grandchild is distant
The grandparent is close,The grandparent is distant
The child is close,The child is distant
The teenager is close,The teenager is distant
The adult is close,The adult is distant
The boy is close,The boy is distant
The girl is close,The girl is distant
The parent is close,The parent is distant
The grandchild is close,The grandchild is distant
The grandparent is close,The grandparent is distant
The child is close,The child is distant
The teenager is close,The teenager is distant
The adult is close,The adult is distant
The boy is close,The boy is far
The girl is close,The girl is far
The parent is close,The parent is far
The grandchild is close,The grandchild is far
The grandparent is close,The grandparent is far
The child is close,The child is far
The teenager is close,The teenager is far
The adult is close,The adult is far
The boy is cold,The boy is hot
The girl is cold,The girl is hot
The parent is cold,The parent is hot
The grandchild is cold,The grandchild is hot
The grandparent is cold,The grandparent is hot
The child is cold,The child is hot
The teenager is cold,The teenager is hot
The adult is cold,The adult is hot
The boy is cold,The boy is hot
The girl is cold,The girl is hot
The parent is cold,The parent is hot
The grandchild is cold,The grandchild is hot
The grandparent is cold,The grandparent is hot
The child is cold,The child is hot
The teenager is cold,The teenager is hot
The adult is cold,The adult is hot
The boy is cold-blooded,The boy is warm-blooded
The girl is cold-blooded,The girl is warm-blooded
The parent is cold-blooded,The parent is warm-blooded
The grandchild is cold-blooded,The grandchild is warm-blooded
The grandparent is cold-blooded,The grandparent is warm-blooded
The child is cold-blooded,The child is warm-blooded
The teenager is cold-blooded,The teenager is warm-blooded
The adult is cold-blooded,The adult is warm-blooded
The boy is colored,The boy is uncolored
The girl is colored,The girl is uncolored
The parent is colored,The parent is uncolored
The grandchild is colored,The grandchild is uncolored
The grandparent is colored,The grandparent is uncolored
The child is colored,The child is uncolored
The teenager is colored,The teenager is uncolored
The adult is colored,The adult is uncolored
The boy is coloured,The boy is uncolored
The girl is coloured,The girl is uncolored
The parent is coloured,The parent is uncolored
The grandchild is coloured,The grandchild is uncolored
The grandparent is coloured,The grandparent is uncolored
The child is coloured,The child is uncolored
The teenager is coloured,The teenager is uncolored
The adult is coloured,The adult is uncolored
The boy is common,The boy is individual
The girl is common,The girl is individual
The parent is common,The parent is individual
The grandchild is common,The grandchild is individual
The grandparent is common,The grandparent is individual
The child is common,The child is individual
The teenager is common,The teenager is individual
The adult is common,The adult is individual
The boy is common,The boy is uncommon
The girl is common,The girl is uncommon
The parent is common,The parent is uncommon
The grandchild is common,The grandchild is uncommon
The grandparent is common,The grandparent is uncommon
The child is common,The child is uncommon
The teenager is common,The teenager is uncommon
The adult is common,The adult is uncommon
The boy is confirmed,The boy is unconfirmed
The girl is confirmed,The girl is unconfirmed
The parent is confirmed,The parent is unconfirmed
The grandchild is confirmed,The grandchild is unconfirmed
The grandparent is confirmed,The grandparent is unconfirmed
The child is confirmed,The child is unconfirmed
The teenager is confirmed,The teenager is unconfirmed
The adult is confirmed,The adult is unconfirmed
The boy is confused,The boy is clearheaded
The girl is confused,The girl is clearheaded
The parent is confused,The parent is clearheaded
The grandchild is confused,The grandchild is clearheaded
The grandparent is confused,The grandparent is clearheaded
The child is confused,The child is clearheaded
The teenager is confused,The teenager is clearheaded
The adult is confused,The adult is clearheaded
The boy is cool,The boy is warm
The girl is cool,The girl is warm
The parent is cool,The parent is warm
The grandchild is cool,The grandchild is warm
The grandparent is cool,The grandparent is warm
The child is cool,The child is warm
The teenager is cool,The teenager is warm
The adult is cool,The adult is warm
The boy is cool,The boy is warm
The girl is cool,The girl is warm
The parent is cool,The parent is warm
The grandchild is cool,The grandchild is warm
The grandparent is cool,The grandparent is warm
The child is cool,The child is warm
The teenager is cool,The teenager is warm
The adult is cool,The adult is warm
The boy is cool,The boy is warm
The girl is cool,The girl is warm
The parent is cool,The parent is warm
The grandchild is cool,The grandchild is warm
The grandparent is cool,The grandparent is warm
The child is cool,The child is warm
The teenager is cool,The teenager is warm
The adult is cool,The adult is warm
The boy is cosmopolitan,The boy is endemic
The girl is cosmopolitan,The girl is endemic
The parent is cosmopolitan,The parent is endemic
The grandchild is cosmopolitan,The grandchild is endemic
The grandparent is cosmopolitan,The grandparent is endemic
The child is cosmopolitan,The child is endemic
The teenager is cosmopolitan,The teenager is endemic
The adult is cosmopolitan,The adult is endemic
The boy is cosmopolitan,The boy is provincial
The girl is cosmopolitan,The girl is provincial
The parent is cosmopolitan,The parent is provincial
The grandchild is cosmopolitan,The grandchild is provincial
The grandparent is cosmopolitan,The grandparent is provincial
The child is cosmopolitan,The child is provincial
The teenager is cosmopolitan,The teenager is provincial
The adult is cosmopolitan,The adult is provincial
The boy is cultivated,The boy is uncultivated
The girl is cultivated,The girl is uncultivated
The parent is cultivated,The parent is uncultivated
The grandchild is cultivated,The grandchild is uncultivated
The grandparent is cultivated,The grandparent is uncultivated
The child is cultivated,The child is uncultivated
The teenager is cultivated,The teenager is uncultivated
The adult is cultivated,The adult is uncultivated
The boy is dead,The boy is alive
The girl is dead,The girl is alive
The parent is dead,The parent is alive
The grandchild is dead,The grandchild is alive
The grandparent is dead,The grandparent is alive
The child is dead,The child is alive
The teenager is dead,The teenager is alive
The adult is dead,The adult is alive
The boy is dead,The boy is live
The girl is dead,The girl is live
The parent is dead,The parent is live
The grandchild is dead,The grandchild is live
The grandparent is dead,The grandparent is live
The child is dead,The child is live
The teenager is dead,The teenager is live
The adult is dead,The adult is live
The boy is decent,The boy is indecent
The girl is decent,The girl is indecent
The parent is decent,The parent is indecent
The grandchild is decent,The grandchild is indecent
The grandparent is decent,The grandparent is indecent
The child is decent,The child is indecent
The teenager is decent,The teenager is indecent
The adult is decent,The adult is indecent
The boy is democratic,The boy is undemocratic
The girl is democratic,The girl is undemocratic
The parent is democratic,The parent is undemocratic
The grandchild is democratic,The grandchild is undemocratic
The grandparent is democratic,The grandparent is undemocratic
The child is democratic,The child is undemocratic
The teenager is democratic,The teenager is undemocratic
The adult is democratic,The adult is undemocratic
The boy is demonstrative,The boy is undemonstrative
The girl is demonstrative,The girl is undemonstrative
The parent is demonstrative,The parent is undemonstrative
The grandchild is demonstrative,The grandchild is undemonstrative
The grandparent is demonstrative,The grandparent is undemonstrative
The child is demonstrative,The child is undemonstrative
The teenager is demonstrative,The teenager is undemonstrative
The adult is demonstrative,The adult is undemonstrative
The boy is dependable,The boy is unreliable
The girl is dependable,The girl is unreliable
The parent is dependable,The parent is unreliable
The grandchild is dependable,The grandchild is unreliable
The grandparent is dependable,The grandparent is unreliable
The child is dependable,The child is unreliable
The teenager is dependable,The teenager is unreliable
The adult is dependable,The adult is unreliable
The boy is dependable,The boy is undependable
The girl is dependable,The girl is undependable
The parent is dependable,The parent is undependable
The grandchild is dependable,The grandchild is undependable
The grandparent is dependable,The grandparent is undependable
The child is dependable,The child is undependable
The teenager is dependable,The teenager is undependable
The adult is dependable,The adult is undependable
The boy is dependent,The boy is independent
The girl is dependent,The girl is independent
The parent is dependent,The parent is independent
The grandchild is dependent,The grandchild is independent
The grandparent is dependent,The grandparent is independent
The child is dependent,The child is independent
The teenager is dependent,The teenager is independent
The adult is dependent,The adult is independent
The boy is dependent,The boy is independent
The girl is dependent,The girl is independent
The parent is dependent,The parent is independent
The grandchild is dependent,The grandchild is independent
The grandparent is dependent,The grandparent is independent
The child is dependent,The child is independent
The teenager is dependent,The teenager is independent
The adult is dependent,The adult is independent
The boy is desensitising,The boy is sensitizing
The girl is desensitising,The girl is sensitizing
The parent is desensitising,The parent is sensitizing
The grandchild is desensitising,The grandchild is sensitizing
The grandparent is desensitising,The grandparent is sensitizing
The child is desensitising,The child is sensitizing
The teenager is desensitising,The teenager is sensitizing
The adult is desensitising,The adult is sensitizing
The boy is desensitizing,The boy is sensitizing
The girl is desensitizing,The girl is sensitizing
The parent is desensitizing,The parent is sensitizing
The grandchild is desensitizing,The grandchild is sensitizing
The grandparent is desensitizing,The grandparent is sensitizing
The child is desensitizing,The child is sensitizing
The teenager is desensitizing,The teenager is sensitizing
The adult is desensitizing,The adult is sensitizing
The boy is detached,The boy is attached
The girl is detached,The girl is attached
The parent is detached,The parent is attached
The grandchild is detached,The grandchild is attached
The grandparent is detached,The grandparent is attached
The child is detached,The child is attached
The teenager is detached,The teenager is attached
The adult is detached,The adult is attached
The boy is diplomatic,The boy is undiplomatic
The girl is diplomatic,The girl is undiplomatic
The parent is diplomatic,The parent is undiplomatic
The grandchild is diplomatic,The grandchild is undiplomatic
The grandparent is diplomatic,The grandparent is undiplomatic
The child is diplomatic,The child is undiplomatic
The teenager is diplomatic,The teenager is undiplomatic
The adult is diplomatic,The adult is undiplomatic
The boy is diplomatical,The boy is undiplomatic
The girl is diplomatical,The girl is undiplomatic
The parent is diplomatical,The parent is undiplomatic
The grandchild is diplomatical,The grandchild is undiplomatic
The grandparent is diplomatical,The grandparent is undiplomatic
The child is diplomatical,The child is undiplomatic
The teenager is diplomatical,The teenager is undiplomatic
The adult is diplomatical,The adult is undiplomatic
The boy is direct,The boy is indirect
The girl is direct,The girl is indirect
The parent is direct,The parent is indirect
The grandchild is direct,The grandchild is indirect
The grandparent is direct,The grandparent is indirect
The child is direct,The child is indirect
The teenager is direct,The teenager is indirect
The adult is direct,The adult is indirect
The boy is direct,The boy is indirect
The girl is direct,The girl is indirect
The parent is direct,The parent is indirect
The grandchild is direct,The grandchild is indirect
The grandparent is direct,The grandparent is indirect
The child is direct,The child is indirect
The teenager is direct,The teenager is indirect
The adult is direct,The adult is indirect
The boy is direct,The boy is collateral
The girl is direct,The girl is collateral
The parent is direct,The parent is collateral
The grandchild is direct,The grandchild is collateral
The grandparent is direct,The grandparent is collateral
The child is direct,The child is collateral
The teenager is direct,The teenager is collateral
The adult is direct,The adult is collateral
The boy is direct,The boy is retrograde
The girl is direct,The girl is retrograde
The parent is direct,The parent is retrograde
The grandchild is direct,The grandchild is retrograde
The grandparent is direct,The grandparent is retrograde
The child is direct,The child is retrograde
The teenager is direct,The teenager is retrograde
The adult is direct,The adult is retrograde
The boy is direct,The boy is inverse
The girl is direct,The girl is inverse
The parent is direct,The parent is inverse
The grandchild is direct,The grandchild is inverse
The grandparent is direct,The grandparent is inverse
The child is direct,The child is inverse
The teenager is direct,The teenager is inverse
The adult is direct,The adult is inverse
The boy is direct,The boy is alternating
The girl is direct,The girl is alternating
The parent is direct,The parent is alternating
The grandchild is direct,The grandchild is alternating
The grandparent is direct,The grandparent is alternating
The child is direct,The child is alternating
The teenager is direct,The teenager is alternating
The adult is direct,The adult is alternating
The boy is dirty,The boy is clean
The girl is dirty,The girl is clean
The parent is dirty,The parent is clean
The grandchild is dirty,The grandchild is clean
The grandparent is dirty,The grandparent is clean
The child is dirty,The child is clean
The teenager is dirty,The teenager is clean
The adult is dirty,The adult is clean
The boy is dirty,The boy is clean
The girl is dirty,The girl is clean
The parent is dirty,The parent is clean
The grandchild is dirty,The grandchild is clean
The grandparent is dirty,The grandparent is clean
The child is dirty,The child is clean
The teenager is dirty,The teenager is clean
The adult is dirty,The adult is clean
The boy is dirty,The boy is clean
The girl is dirty,The girl is clean
The parent is dirty,The parent is clean
The grandchild is dirty,The grandchild is clean
The grandparent is dirty,The grandparent is clean
The child is dirty,The child is clean
The teenager is dirty,The teenager is clean
The adult is dirty,The adult is clean
The boy is disreputable,The boy is reputable
The girl is disreputable,The girl is reputable
The parent is disreputable,The parent is reputable
The grandchild is disreputable,The grandchild is reputable
The grandparent is disreputable,The grandparent is reputable
The child is disreputable,The child is reputable
The teenager is disreputable,The teenager is reputable
The adult is disreputable,The adult is reputable
The boy is dry,The boy is wet
The girl is dry,The girl is wet
The parent is dry,The parent is wet
The grandchild is dry,The grandchild is wet
The grandparent is dry,The grandparent is wet
The child is dry,The child is wet
The teenager is dry,The teenager is wet
The adult is dry,The adult is wet
The boy is dry,The boy is wet
The girl is dry,The girl is wet
The parent is dry,The parent is wet
The grandchild is dry,The grandchild is wet
The grandparent is dry,The grandparent is wet
The child is dry,The child is wet
The teenager is dry,The teenager is wet
The adult is dry,The adult is wet
The boy is dry,The boy is wet
The girl is dry,The girl is wet
The parent is dry,The parent is wet
The grandchild is dry,The grandchild is wet
The grandparent is dry,The grandparent is wet
The child is dry,The child is wet
The teenager is dry,The teenager is wet
The adult is dry,The adult is wet
The boy is dry,The boy is wet
The girl is dry,The girl is wet
The parent is dry,The parent is wet
The grandchild is dry,The grandchild is wet
The grandparent is dry,The grandparent is wet
The child is dry,The child is wet
The teenager is dry,The teenager is wet
The adult is dry,The adult is wet
The boy is dry,The boy is sweet
The girl is dry,The girl is sweet
The parent is dry,The parent is sweet
The grandchild is dry,The grandchild is sweet
The grandparent is dry,The grandparent is sweet
The child is dry,The child is sweet
The teenager is dry,The teenager is sweet
The adult is dry,The adult is sweet
The boy is dry,The boy is phlegmy
The girl is dry,The girl is phlegmy
The parent is dry,The parent is phlegmy
The grandchild is dry,The grandchild is phlegmy
The grandparent is dry,The grandparent is phlegmy
The child is dry,The child is phlegmy
The teenager is dry,The teenager is phlegmy
The adult is dry,The adult is phlegmy
The boy is dynamic,The boy is undynamic
The girl is dynamic,The girl is undynamic
The parent is dynamic,The parent is undynamic
The grandchild is dynamic,The grandchild is undynamic
The grandparent is dynamic,The grandparent is undynamic
The child is dynamic,The child is undynamic
The teenager is dynamic,The teenager is undynamic
The adult is dynamic,The adult is undynamic
The boy is dynamic,The boy is stative
The girl is dynamic,The girl is stative
The parent is dynamic,The parent is stative
The grandchild is dynamic,The grandchild is stative
The grandparent is dynamic,The grandparent is stative
The child is dynamic,The child is stative
The teenager is dynamic,The teenager is stative
The adult is dynamic,The adult is stative
The boy is dynamical,The boy is undynamic
The girl is dynamical,The girl is undynamic
The parent is dynamical,The parent is undynamic
The grandchild is dynamical,The grandchild is undynamic
The grandparent is dynamical,The grandparent is undynamic
The child is dynamical,The child is undynamic
The teenager is dynamical,The teenager is undynamic
The adult is dynamical,The adult is undynamic
The boy is dystopian,The boy is utopian
The girl is dystopian,The girl is utopian
The parent is dystopian,The parent is utopian
The grandchild is dystopian,The grandchild is utopian
The grandparent is dystopian,The grandparent is utopian
The child is dystopian,The child is utopian
The teenager is dystopian,The teenager is utopian
The adult is dystopian,The adult is utopian
The boy is easy,The boy is difficult
The girl is easy,The girl is difficult
The parent is easy,The parent is difficult
The grandchild is easy,The grandchild is difficult
The grandparent is easy,The grandparent is difficult
The child is easy,The child is difficult
The teenager is easy,The teenager is difficult
The adult is easy,The adult is difficult
The boy is easy,The boy is uneasy
The girl is easy,The girl is uneasy
The parent is easy,The parent is uneasy
The grandchild is easy,The grandchild is uneasy
The grandparent is easy,The grandparent is uneasy
The child is easy,The child is uneasy
The teenager is easy,The teenager is uneasy
The adult is easy,The adult is uneasy
The boy is elegant,The boy is inelegant
The girl is elegant,The girl is inelegant
The parent is elegant,The parent is inelegant
The grandchild is elegant,The grandchild is inelegant
The grandparent is elegant,The grandparent is inelegant
The child is elegant,The child is inelegant
The teenager is elegant,The teenager is inelegant
The adult is elegant,The adult is inelegant
The boy is emotional,The boy is cerebral
The girl is emotional,The girl is cerebral
The parent is emotional,The parent is cerebral
The grandchild is emotional,The grandchild is cerebral
The grandparent is emotional,The grandparent is cerebral
The child is emotional,The child is cerebral
The teenager is emotional,The teenager is cerebral
The adult is emotional,The adult is cerebral
The boy is emotional,The boy is unemotional
The girl is emotional,The girl is unemotional
The parent is emotional,The parent is unemotional
The grandchild is emotional,The grandchild is unemotional
The grandparent is emotional,The grandparent is unemotional
The child is emotional,The child is unemotional
The teenager is emotional,The teenager is unemotional
The adult is emotional,The adult is unemotional
The boy is empty,The boy is full
The girl is empty,The girl is full
The parent is empty,The parent is full
The grandchild is empty,The grandchild is full
The grandparent is empty,The grandparent is full
The child is empty,The child is full
The teenager is empty,The teenager is full
The adult is empty,The adult is full
The boy is ethical,The boy is unethical
The girl is ethical,The girl is unethical
The parent is ethical,The parent is unethical
The grandchild is ethical,The grandchild is unethical
The grandparent is ethical,The grandparent is unethical
The child is ethical,The child is unethical
The teenager is ethical,The teenager is unethical
The adult is ethical,The adult is unethical
The boy is excited,The boy is unexcited
The girl is excited,The girl is unexcited
The parent is excited,The parent is unexcited
The grandchild is excited,The grandchild is unexcited
The grandparent is excited,The grandparent is unexcited
The child is excited,The child is unexcited
The teenager is excited,The teenager is unexcited
The adult is excited,The adult is unexcited
The boy is exempt,The boy is nonexempt
The girl is exempt,The girl is nonexempt
The parent is exempt,The parent is nonexempt
The grandchild is exempt,The grandchild is nonexempt
The grandparent is exempt,The grandparent is nonexempt
The child is exempt,The child is nonexempt
The teenager is exempt,The teenager is nonexempt
The adult is exempt,The adult is nonexempt
The boy is exempt,The boy is taxable
The girl is exempt,The girl is taxable
The parent is exempt,The parent is taxable
The grandchild is exempt,The grandchild is taxable
The grandparent is exempt,The grandparent is taxable
The child is exempt,The child is taxable
The teenager is exempt,The teenager is taxable
The adult is exempt,The adult is taxable
The boy is expansive,The boy is unexpansive
The girl is expansive,The girl is unexpansive
The parent is expansive,The parent is unexpansive
The grandchild is expansive,The grandchild is unexpansive
The grandparent is expansive,The grandparent is unexpansive
The child is expansive,The child is unexpansive
The teenager is expansive,The teenager is unexpansive
The adult is expansive,The adult is unexpansive
The boy is exploited,The boy is unexploited
The girl is exploited,The girl is unexploited
The parent is exploited,The parent is unexploited
The grandchild is exploited,The grandchild is unexploited
The grandparent is exploited,The grandparent is unexploited
The child is exploited,The child is unexploited
The teenager is exploited,The teenager is unexploited
The adult is exploited,The adult is unexploited
The boy is false,The boy is true
The girl is false,The girl is true
The parent is false,The parent is true
The grandchild is false,The grandchild is true
The grandparent is false,The grandparent is true
The child is false,The child is true
The teenager is false,The teenager is true
The adult is false,The adult is true
The boy is feverish,The boy is afebrile
The girl is feverish,The girl is afebrile
The parent is feverish,The parent is afebrile
The grandchild is feverish,The grandchild is afebrile
The grandparent is feverish,The grandparent is afebrile
The child is feverish,The child is afebrile
The teenager is feverish,The teenager is afebrile
The adult is feverish,The adult is afebrile
The boy is figurative,The boy is literal
The girl is figurative,The girl is literal
The parent is figurative,The parent is literal
The grandchild is figurative,The grandchild is literal
The grandparent is figurative,The grandparent is literal
The child is figurative,The child is literal
The teenager is figurative,The teenager is literal
The adult is figurative,The adult is literal
The boy is finite,The boy is infinite
The girl is finite,The girl is infinite
